Page 1: P72572A (bbox: (36.20020294189453, 770.0149536132812, 110.38021087646484, 794.054931640625), font: MyriadPro-Regular, size: 20.0)
Page 30: thermal energy for a change of state = mass (bbox: (47.01909637451172, 304.28643798828125, 267.78076171875, 318.71044921875), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (267.78076171875, 304.9344482421875, 277.11676025390625, 318.73443603515625), font: Euclid, size: 12.0)
Page 30: specific latent heat (bbox: (277.11676025390625, 304.28643798828125, 373.6196594238281, 318.71044921875), font: MyriadPro-Regular, size: 12.0)
Page 30:  (bbox: (373.61968994140625, 304.2744445800781, 375.8036804199219, 318.71044921875), font: MyriadPro-It, size: 12.0)
Page 30: Q (bbox: (47.01909637451172, 330.2784729003906, 55.03509521484375, 344.7144775390625), font: MyriadPro-It, size: 12.0)
Page 30: = (bbox: (55.03509521484375, 330.29046630859375, 67.27509307861328, 344.7144775390625), font: MyriadPro-Regular, size: 12.0)
Page 30: m (bbox: (67.27509307861328, 330.2784729003906, 76.9710922241211, 344.7144775390625), font: MyriadPro-It, size: 12.0)
Page 30:  (bbox: (76.9710922241211, 330.29046630859375, 79.51509094238281, 344.7144775390625), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (79.51509094238281, 330.9384765625, 88.85108947753906, 344.73846435546875), font: Euclid, size: 12.0)
Page 30:  (bbox: (88.85108947753906, 330.29046630859375, 91.39508819580078, 344.7144775390625), font: MyriadPro-Regular, size: 12.0)
Page 30: L (bbox: (91.39508819580078, 330.2784729003906, 96.69908905029297, 344.7144775390625), font: MyriadPro-It, size: 12.0)
Page 30: P (bbox: (47.01909637451172, 351.3984680175781, 53.10309600830078, 365.83447265625), font: MyriadPro-It, size: 12.0)
Page 30: 1 (bbox: (53.102996826171875, 357.9781494140625, 56.69194412231445, 366.3873291015625), font: MyriadPro-Regular, size: 6.995999813079834)
Page 30:  (bbox: (56.691802978515625, 351.4143981933594, 59.235801696777344, 365.8384094238281), font: MyriadPro-Regular, size: 12.0)
Page 30: V (bbox: (59.235801696777344, 351.40240478515625, 65.70380401611328, 365.8384094238281), font: MyriadPro-It, size: 12.0)
Page 30: 1 (bbox: (65.70349884033203, 357.9781494140625, 70.77560424804688, 366.3873291015625), font: MyriadPro-Regular, size: 6.995999813079834)
Page 30: = (bbox: (70.77539825439453, 351.4143981933594, 80.47139739990234, 365.8384094238281), font: MyriadPro-Regular, size: 12.0)
Page 30: P (bbox: (80.47139739990234, 351.40240478515625, 86.5553970336914, 365.8384094238281), font: MyriadPro-It, size: 12.0)
Page 30: 2 (bbox: (86.55509948730469, 357.9781494140625, 90.14405059814453, 366.3873291015625), font: MyriadPro-Regular, size: 6.995999813079834)
Page 30:  (bbox: (90.1438980102539, 351.4143981933594, 92.68789672851562, 365.8384094238281), font: MyriadPro-Regular, size: 12.0)
Page 30: V (bbox: (92.68789672851562, 351.40240478515625, 99.15589904785156, 365.8384094238281), font: MyriadPro-It, size: 12.0)
Page 30: 2 (bbox: (99.15560150146484, 357.9781494140625, 102.74455261230469, 366.3873291015625), font: MyriadPro-Regular, size: 6.995999813079834)
Page 30: to calculate pressure or volume for gases of fixed mass at constant temperature (bbox: (47.01909637451172, 377.4143981933594, 441.0824890136719, 391.8384094238281), font: MyriadPro-Regular, size: 12.0)
Page 30: energy transferred in stretching = 0.5 (bbox: (47.01909637451172, 400.4783935546875, 234.16993713378906, 414.90240478515625), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (234.16993713378906, 401.12640380859375, 243.5059356689453, 414.9263916015625), font: Euclid, size: 12.0)
Page 30: spring constant (bbox: (243.5059356689453, 400.4783935546875, 326.5089111328125, 414.90240478515625), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (326.5089111328125, 401.12640380859375, 335.84490966796875, 414.9263916015625), font: Euclid, size: 12.0)
Page 30: (extension) (bbox: (335.84490966796875, 400.4783935546875, 394.2729187011719, 414.90240478515625), font: MyriadPro-Regular, size: 12.0)
Page 30: 2 (bbox: (394.269775390625, 399.8431396484375, 397.8587341308594, 408.2523193359375), font: MyriadPro-Regular, size: 6.995999813079834)
Page 30:  (bbox: (397.85870361328125, 400.4673156738281, 400.0426940917969, 414.9033203125), font: MyriadPro-It, size: 12.0)
Page 30: E (bbox: (47.01469421386719, 426.4713134765625, 52.654693603515625, 440.9073181152344), font: MyriadPro-It, size: 12.0)
Page 30: = ½ (bbox: (52.654693603515625, 426.4833068847656, 76.54669189453125, 440.9073181152344), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (76.54669189453125, 427.1313171386719, 85.8826904296875, 440.9313049316406), font: Euclid, size: 12.0)
Page 30:  (bbox: (85.8826904296875, 426.4833068847656, 88.42668914794922, 440.9073181152344), font: MyriadPro-Regular, size: 12.0)
Page 30: k (bbox: (88.42668914794922, 426.4713134765625, 93.89868927001953, 440.9073181152344), font: MyriadPro-It, size: 12.0)
Page 30:  (bbox: (93.89868927001953, 426.4833068847656, 96.44268798828125, 440.9073181152344), font: MyriadPro-Regular, size: 12.0)
Page 30: × (bbox: (96.44268798828125, 427.1313171386719, 105.7786865234375, 440.9313049316406), font: Euclid, size: 12.0)
Page 30:  (bbox: (105.7786865234375, 426.4833068847656, 108.32268524169922, 440.9073181152344), font: MyriadPro-Regular, size: 12.0)
Page 30: x (bbox: (108.32269287109375, 426.4713134765625, 113.61469268798828, 440.9073181152344), font: MyriadPro-It, size: 12.0)
Page 30: 2 (bbox: (113.6177978515625, 425.8431396484375, 117.20674896240234, 434.2523193359375), font: MyriadPro-Regular, size: 6.995999813079834)
Page 31: BLANK PAGE (bbox: (262.772216796875, 416.4940185546875, 332.5018615722656, 431.3620300292969), font: MyriadPro-Bold, size: 12.0)
Page 32: BLANK PAGE (bbox: (262.772216796875, 416.4940185546875, 332.5018615722656, 431.3620300292969), font: MyriadPro-Bold, size: 12.0)
Page 33: Paper (bbox: (309.03472900390625, 125.25779724121094, 339.75469970703125, 140.12579345703125), font: MyriadPro-Bold, size: 12.0)
Page 33: reference (bbox: (309.03472900390625, 139.26182556152344, 358.6295166015625, 154.12982177734375), font: MyriadPro-Bold, size: 12.0)
Page 33:  (bbox: (489.33453369140625, 159.71871948242188, 497.3535461425781, 169.20472717285156), font: Wingdings2, size: 9.0)
Page 33:  (bbox: (506.34228515625, 159.71871948242188, 514.3612670898438, 169.20472717285156), font: Wingdings2, size: 9.0)
Page 33: Equation Booklet (bbox: (118.41279602050781, 257.41461181640625, 226.5474090576172, 274.7606201171875), font: MyriadPro-Bold, size: 14.0)
Page 33: Do not return this Booklet with the question paper. (bbox: (118.41279602050781, 276.2273254394531, 389.9332275390625, 291.0953369140625), font: MyriadPro-Bold, size: 12.0)
Page 33: P72572A (bbox: (35.99949645996094, 763.70654296875, 110.17950439453125, 787.7465209960938), font: MyriadPro-Regular, size: 20.0)
Page 33: ©2023 Pearson Education Ltd. (bbox: (35.99949645996094, 788.0345458984375, 110.60233306884766, 795.2465209960938), font: MyriadPro-Regular, size: 6.0)
Page 33: 1PH0/1F (bbox: (388.13128662109375, 122.07040405273438, 498.1282653808594, 158.00140380859375), font: MyriadPro-Bold, size: 29.0)
Page 33: Pearson Edexcel Level 1/Level 2 GCSE (9–1) (bbox: (111.65249633789062, 53.161041259765625, 489.6125183105469, 77.9410400390625), font: MyriadPro-Bold, size: 20.0)
Page 33: May–June 2023 Assessment Window (bbox: (119.92860412597656, 89.15589904785156, 421.4206237792969, 112.6968994140625), font: MyriadPro-Bold, size: 19.0)
Page 33: Physics (bbox: (119.50320434570312, 158.67324829101562, 197.45521545410156, 188.40924072265625), font: MyriadPro-Bold, size: 24.0)
Page 33: PAPER 1 (bbox: (119.50320434570312, 187.85919189453125, 185.0592041015625, 210.16119384765625), font: MyriadPro-Bold, size: 18.0)
Page 33: Foundation Tier (bbox: (400.6209716796875, 224.42770385742188, 513.2130737304688, 244.251708984375), font: MyriadPro-Bold, size: 16.0)
Page 34: If you’re taking (bbox: (42.52153015136719, 59.9425163269043, 119.21231842041016, 74.36651611328125), font: MyriadPro-Regular, size: 12.0)
Page 34: GCSE (9–1) Combined Science (bbox: (119.46432495117188, 59.49851608276367, 277.9111328125, 74.36651611328125), font: MyriadPro-Bold, size: 12.0)
Page 34: or (bbox: (277.9111328125, 59.9425163269043, 293.76318359375, 74.36651611328125), font: MyriadPro-Regular, size: 12.0)
Page 34: GCSE (9–1) Physics (bbox: (294.01519775390625, 59.49851608276367, 393.38604736328125, 74.36651611328125), font: MyriadPro-Bold, size: 12.0)
Page 34: , you will need (bbox: (393.38604736328125, 59.9425163269043, 468.2901611328125, 74.36651611328125), font: MyriadPro-Regular, size: 12.0)
Page 34: these equations: (bbox: (42.52153015136719, 73.94654846191406, 125.10553741455078, 88.37054443359375), font: MyriadPro-Regular, size: 12.0)
Page 34: HT (bbox: (42.52153015136719, 97.47856140136719, 57.36552810668945, 112.3465576171875), font: MyriadPro-Bold, size: 12.0)
Page 34: = higher tier (bbox: (57.36552429199219, 97.92256164550781, 122.39351654052734, 112.3465576171875), font: MyriadPro-Regular, size: 12.0)
Page 34: distance travelled = average speed × time (bbox: (79.86949920654297, 131.06715393066406, 289.5323791503906, 145.49114990234375), font: MyriadPro-Regular, size: 12.0)
Page 34: acceleration = change in velocity ÷ time taken (bbox: (79.86949920654297, 167.41517639160156, 311.1444396972656, 181.83917236328125), font: MyriadPro-Regular, size: 12.0)
Page 34: a (bbox: (418.81732177734375, 167.39761352539062, 425.0813293457031, 181.8336181640625), font: MyriadPro-It, size: 12.0)
Page 34: v (bbox: (441.22357177734375, 158.99142456054688, 446.6835632324219, 173.42742919921875), font: MyriadPro-It, size: 12.0)
Page 34: u (bbox: (457.3515625, 158.99142456054688, 463.66357421875, 173.42742919921875), font: MyriadPro-It, size: 12.0)
Page 34: t (bbox: (450.22357177734375, 176.77542114257812, 453.9795837402344, 191.21142578125), font: MyriadPro-It, size: 12.0)
Page 34:  (bbox: (427.25482177734375, 166.77362060546875, 433.84283447265625, 181.47361755371094), font: SymbolMT, size: 12.0)
Page 34:  (bbox: (449.28680419921875, 158.36163330078125, 455.87481689453125, 173.06163024902344), font: SymbolMT, size: 12.0)
Page 34:  (bbox: (436.62982177734375, 155.51576232910156, 440.6258239746094, 174.75807189941406), font: SymbolMT, size: 13.729384422302246)
Page 34:  (bbox: (464.54180908203125, 155.51576232910156, 468.5378112792969, 174.75807189941406), font: SymbolMT, size: 13.729384422302246)
Page 34: force = mass × acceleration (bbox: (79.86949920654297, 203.75221252441406, 216.58428955078125, 218.17620849609375), font: MyriadPro-Regular, size: 12.0)
Page 34: F (bbox: (417.18951416015625, 203.74020385742188, 422.7695007324219, 218.17620849609375), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (422.76947021484375, 203.75221252441406, 435.26153564453125, 218.17620849609375), font: MyriadPro-Regular, size: 12.0)
Page 34: m (bbox: (435.5135498046875, 203.74020385742188, 445.2095642089844, 218.17620849609375), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (445.20953369140625, 203.75221252441406, 457.70159912109375, 218.17620849609375), font: MyriadPro-Regular, size: 12.0)
Page 34: a (bbox: (457.95361328125, 203.74020385742188, 464.2176208496094, 218.17620849609375), font: MyriadPro-It, size: 12.0)
Page 34: weight = mass × gravitational field strength (bbox: (79.86949157714844, 232.09620666503906, 298.6535949707031, 246.52020263671875), font: MyriadPro-Regular, size: 12.0)
Page 34: W (bbox: (417.18951416015625, 232.08419799804688, 427.13751220703125, 246.52020263671875), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (427.13751220703125, 232.09620666503906, 439.6295166015625, 246.52020263671875), font: MyriadPro-Regular, size: 12.0)
Page 34: m (bbox: (439.88153076171875, 232.08419799804688, 449.5775451660156, 246.52020263671875), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (449.57757568359375, 232.09620666503906, 462.069580078125, 246.52020263671875), font: MyriadPro-Regular, size: 12.0)
Page 34: g (bbox: (462.32159423828125, 232.08419799804688, 468.6095886230469, 246.52020263671875), font: MyriadPro-It, size: 12.0)
Page 34: HT (bbox: (48.68150329589844, 259.9961853027344, 63.5255012512207, 274.86419677734375), font: MyriadPro-Bold, size: 12.0)
Page 34: momentum = mass × velocity (bbox: (79.85750579833984, 259.9961853027344, 236.68556213378906, 274.86419677734375), font: MyriadPro-Bold, size: 12.0)
Page 34: p (bbox: (417.177490234375, 260.02020263671875, 423.9214782714844, 274.86419677734375), font: MyriadPro-BoldIt, size: 12.0)
Page 34: = (bbox: (423.9215087890625, 260.440185546875, 436.41351318359375, 274.86419677734375), font: MyriadPro-Regular, size: 12.0)
Page 34: m (bbox: (436.66552734375, 260.02020263671875, 446.63751220703125, 274.86419677734375), font: MyriadPro-BoldIt, size: 12.0)
Page 34: × (bbox: (446.6375732421875, 260.440185546875, 459.12957763671875, 274.86419677734375), font: MyriadPro-Regular, size: 12.0)
Page 34: v (bbox: (459.381591796875, 260.02020263671875, 465.5256042480469, 274.86419677734375), font: MyriadPro-BoldIt, size: 12.0)
Page 34: change in gravitational potential energy = mass × gravitational (bbox: (79.85749816894531, 284.7882080078125, 397.48455810546875, 299.21221923828125), font: MyriadPro-Regular, size: 12.0)
Page 34: field strength × change in vertical height (bbox: (79.85749816894531, 298.792236328125, 284.3363952636719, 313.21624755859375), font: MyriadPro-Regular, size: 12.0)
Page 34: ∆ (bbox: (417.177490234375, 290.7402648925781, 424.521484375, 306.9042663574219), font: TimesNewRomanPSMT, size: 12.0)
Page 34: GPE (bbox: (424.521484375, 291.7842712402344, 443.7215576171875, 306.22027587890625), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (443.7215576171875, 291.7962646484375, 456.21356201171875, 306.22027587890625), font: MyriadPro-Regular, size: 12.0)
Page 34: m (bbox: (456.465576171875, 291.7842712402344, 466.1615905761719, 306.22027587890625), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (466.16162109375, 291.7962646484375, 478.65362548828125, 306.22027587890625), font: MyriadPro-Regular, size: 12.0)
Page 34: g (bbox: (478.9056396484375, 291.7842712402344, 485.1936340332031, 306.22027587890625), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (485.19366455078125, 291.7962646484375, 497.6856689453125, 306.22027587890625), font: MyriadPro-Regular, size: 12.0)
Page 34: ∆ (bbox: (497.93768310546875, 290.7402648925781, 505.28167724609375, 306.9042663574219), font: TimesNewRomanPSMT, size: 12.0)
Page 34: h (bbox: (505.28167724609375, 291.7842712402344, 511.6896667480469, 306.22027587890625), font: MyriadPro-It, size: 12.0)
Page 34: kinetic energy = 1/2 × mass × (speed) (bbox: (79.85749816894531, 330.13629150390625, 268.1363220214844, 344.560302734375), font: MyriadPro-Regular, size: 12.0)
Page 34: 2 (bbox: (268.16302490234375, 329.4941101074219, 271.7519836425781, 337.9032897949219), font: MyriadPro-Regular, size: 6.995999813079834)
Page 34: KE (bbox: (418.81732177734375, 329.1142883300781, 430.6492919921875, 343.55029296875), font: MyriadPro-It, size: 12.0)
Page 34: m v (bbox: (459.12982177734375, 329.1142883300781, 482.9618225097656, 343.55029296875), font: MyriadPro-It, size: 12.0)
Page 34:  (bbox: (433.62982177734375, 328.49029541015625, 440.21783447265625, 343.1903076171875), font: SymbolMT, size: 12.0)
Page 34:  (bbox: (451.0657958984375, 328.49029541015625, 457.65380859375, 343.1903076171875), font: SymbolMT, size: 12.0)
Page 34:  (bbox: (469.82183837890625, 328.49029541015625, 476.40985107421875, 343.1903076171875), font: SymbolMT, size: 12.0)
Page 34: 1 (bbox: (443.47357177734375, 321.56378173828125, 449.62957763671875, 335.98779296875), font: MyriadPro-Regular, size: 12.0)
Page 34: 2 (bbox: (443.005615234375, 338.49578857421875, 449.16162109375, 352.9197998046875), font: MyriadPro-Regular, size: 12.0)
Page 34: 2 (bbox: (483.87982177734375, 327.2023010253906, 488.17620849609375, 337.26904296875), font: MyriadPro-Regular, size: 8.375)
Page 34: efficiency = (bbox: (79.86949920654297, 373.9728088378906, 140.28831481933594, 388.3968200683594), font: MyriadPro-Regular, size: 12.0)
Page 34: wave speed = frequency × wavelength (bbox: (79.86949920654297, 410.8247985839844, 274.2455139160156, 425.2488098144531), font: MyriadPro-Regular, size: 12.0)
Page 34: v (bbox: (417.18951416015625, 410.81280517578125, 422.6495056152344, 425.2488098144531), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (422.64947509765625, 410.8247985839844, 435.14154052734375, 425.2488098144531), font: MyriadPro-Regular, size: 12.0)
Page 34: f (bbox: (435.3935546875, 410.81280517578125, 438.78955078125, 425.2488098144531), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (438.78955078125, 410.8247985839844, 451.28155517578125, 425.2488098144531), font: MyriadPro-Regular, size: 12.0)
Page 34: λ (bbox: (451.5335693359375, 409.768798828125, 457.35357666015625, 425.93280029296875), font: TimesNewRomanPSMT, size: 12.0)
Page 34: wave speed = distance ÷ time (bbox: (79.86949157714844, 446.164794921875, 229.52151489257812, 460.58880615234375), font: MyriadPro-Regular, size: 12.0)
Page 34: v (bbox: (418.62982177734375, 445.1537170410156, 424.0898132324219, 459.5897216796875), font: MyriadPro-It, size: 12.0)
Page 34: x (bbox: (437.56732177734375, 437.5912170410156, 442.85931396484375, 452.0272216796875), font: MyriadPro-It, size: 12.0)
Page 34: t (bbox: (437.75927734375, 454.5232238769531, 441.5152893066406, 468.959228515625), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (427.06732177734375, 444.52972412109375, 433.65533447265625, 459.229736328125), font: SymbolMT, size: 12.0)
Page 34: work done = force × distance moved in the direction of the force (bbox: (79.87129211425781, 481.5137023925781, 403.5715637207031, 495.9377136230469), font: MyriadPro-Regular, size: 12.0)
Page 34: E (bbox: (417.1912841796875, 481.501708984375, 422.831298828125, 495.9377136230469), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (422.831298828125, 481.5137023925781, 435.3233642578125, 495.9377136230469), font: MyriadPro-Regular, size: 12.0)
Page 34: F (bbox: (435.57537841796875, 481.501708984375, 441.1553649902344, 495.9377136230469), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (441.15533447265625, 481.5137023925781, 453.64739990234375, 495.9377136230469), font: MyriadPro-Regular, size: 12.0)
Page 34: d (bbox: (453.8994140625, 481.501708984375, 460.19940185546875, 495.9377136230469), font: MyriadPro-It, size: 12.0)
Page 34: power = work done ÷ time taken (bbox: (79.87129211425781, 516.8536987304688, 244.71412658691406, 531.2777099609375), font: MyriadPro-Regular, size: 12.0)
Page 34: P (bbox: (419.00482177734375, 515.8387451171875, 425.0888366699219, 530.2747192382812), font: MyriadPro-It, size: 12.0)
Page 34: E (bbox: (437.37982177734375, 508.2762145996094, 443.01983642578125, 522.7122192382812), font: MyriadPro-It, size: 12.0)
Page 34: t (bbox: (438.21978759765625, 525.208251953125, 441.9757995605469, 539.6442260742188), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (427.81732177734375, 515.2147216796875, 434.40533447265625, 529.9147338867188), font: SymbolMT, size: 12.0)
Page 34: energy transferred = charge moved × potential difference (bbox: (79.86531066894531, 552.1986694335938, 368.4390563964844, 566.6226806640625), font: MyriadPro-Regular, size: 12.0)
Page 34: E (bbox: (417.185302734375, 552.1867065429688, 422.8253173828125, 566.6226806640625), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (422.8253173828125, 552.1986694335938, 435.3173828125, 566.6226806640625), font: MyriadPro-Regular, size: 12.0)
Page 34: Q (bbox: (435.56939697265625, 552.1867065429688, 443.58538818359375, 566.6226806640625), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (443.58538818359375, 552.1986694335938, 456.077392578125, 566.6226806640625), font: MyriadPro-Regular, size: 12.0)
Page 34: V (bbox: (456.32940673828125, 552.1867065429688, 462.7973937988281, 566.6226806640625), font: MyriadPro-It, size: 12.0)
Page 34: charge = current × time (bbox: (79.86531066894531, 580.5426635742188, 198.88009643554688, 594.9666748046875), font: MyriadPro-Regular, size: 12.0)
Page 34: Q (bbox: (417.185302734375, 580.5307006835938, 425.2012939453125, 594.9666748046875), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (425.2012939453125, 580.5426635742188, 437.693359375, 594.9666748046875), font: MyriadPro-Regular, size: 12.0)
Page 34: I (bbox: (437.94537353515625, 580.5307006835938, 442.9253234863281, 594.9666748046875), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (443.1533203125, 580.5426635742188, 452.84930419921875, 594.9666748046875), font: MyriadPro-Regular, size: 12.0)
Page 34: t (bbox: (453.101318359375, 580.5307006835938, 456.8573303222656, 594.9666748046875), font: MyriadPro-It, size: 12.0)
Page 34: potential difference = current × resistance (bbox: (79.86528015136719, 608.8866577148438, 289.9361877441406, 623.3106689453125), font: MyriadPro-Regular, size: 12.0)
Page 34: V (bbox: (417.185302734375, 608.8746948242188, 423.6532897949219, 623.3106689453125), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (423.65325927734375, 608.8866577148438, 436.14532470703125, 623.3106689453125), font: MyriadPro-Regular, size: 12.0)
Page 34: I (bbox: (436.3973388671875, 608.8746948242188, 439.1933288574219, 623.3106689453125), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (439.19329833984375, 608.8866577148438, 451.68536376953125, 623.3106689453125), font: MyriadPro-Regular, size: 12.0)
Page 34: R (bbox: (451.9373779296875, 608.8746948242188, 458.21337890625, 623.3106689453125), font: MyriadPro-It, size: 12.0)
Page 34: power = energy transferred ÷ time taken (bbox: (79.86528015136719, 644.2266845703125, 283.6001281738281, 658.6506958007812), font: MyriadPro-Regular, size: 12.0)
Page 34: P (bbox: (419.00482177734375, 643.2167358398438, 425.0888366699219, 657.6527099609375), font: MyriadPro-It, size: 12.0)
Page 34: E (bbox: (437.37982177734375, 635.6542358398438, 443.01983642578125, 650.0902099609375), font: MyriadPro-It, size: 12.0)
Page 34: t (bbox: (438.21978759765625, 652.5862426757812, 441.9757995605469, 667.022216796875), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (427.81732177734375, 642.5927124023438, 434.40533447265625, 657.292724609375), font: SymbolMT, size: 12.0)
Page 34: electrical power = current × potential difference (bbox: (79.86531066894531, 679.5767211914062, 319.9818420410156, 694.000732421875), font: MyriadPro-Regular, size: 12.0)
Page 34: P (bbox: (417.185302734375, 679.5647583007812, 423.2693176269531, 694.000732421875), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (423.26934814453125, 679.5767211914062, 435.7613525390625, 694.000732421875), font: MyriadPro-Regular, size: 12.0)
Page 34: I (bbox: (436.01336669921875, 679.5647583007812, 438.8093566894531, 694.000732421875), font: MyriadPro-It, size: 12.0)
Page 34: × (bbox: (438.80938720703125, 679.5767211914062, 451.3013916015625, 694.000732421875), font: MyriadPro-Regular, size: 12.0)
Page 34: V (bbox: (451.55340576171875, 679.5647583007812, 458.0213928222656, 694.000732421875), font: MyriadPro-It, size: 12.0)
Page 34: electrical power = (current) (bbox: (79.86531066894531, 707.9207153320312, 215.69215393066406, 722.3447265625), font: MyriadPro-Regular, size: 12.0)
Page 34: 2 (bbox: (215.70269775390625, 707.2855224609375, 219.29164123535156, 715.6947631835938), font: MyriadPro-Regular, size: 6.995999813079834)
Page 34: × resistance (bbox: (219.29150390625, 707.917724609375, 281.8943786621094, 722.3417358398438), font: MyriadPro-Regular, size: 12.0)
Page 34: P (bbox: (417.19549560546875, 707.90576171875, 423.2795104980469, 722.3417358398438), font: MyriadPro-It, size: 12.0)
Page 34: = (bbox: (423.279541015625, 707.917724609375, 435.77154541015625, 722.3417358398438), font: MyriadPro-Regular, size: 12.0)
Page 34: I (bbox: (436.0235595703125, 707.90576171875, 438.8195495605469, 722.3417358398438), font: MyriadPro-It, size: 12.0)
Page 34: 2 (bbox: (439.42047119140625, 707.2855224609375, 443.0094299316406, 715.6947631835938), font: MyriadPro-Regular, size: 6.995999813079834)
Page 34: × (bbox: (443.00927734375, 707.917724609375, 455.5013427734375, 722.3417358398438), font: MyriadPro-Regular, size: 12.0)
Page 34: R (bbox: (455.75335693359375, 707.90576171875, 462.02935791015625, 722.3417358398438), font: MyriadPro-It, size: 12.0)
Page 34: density = mass ÷ volume (bbox: (79.86531066894531, 743.2576904296875, 205.08531188964844, 757.6817016601562), font: MyriadPro-Regular, size: 12.0)
Page 34: = (bbox: (426.51837158203125, 740.2825317382812, 433.0384521484375, 755.723876953125), font: Symbol, size: 11.863443374633789)
Page 34:  (bbox: (433.0384521484375, 733.3095092773438, 436.5418701171875, 755.2142944335938), font: MyriadPro-It, size: 11.863443374633789)
Page 34: m (bbox: (436.5418701171875, 733.3095092773438, 446.1379089355469, 747.5657958984375), font: MyriadPro-It, size: 11.863443374633789)
Page 34: V (bbox: (437.1043701171875, 750.0360717773438, 443.5057067871094, 764.2923583984375), font: MyriadPro-It, size: 11.863443374633789)
Page 34: ρ (bbox: (417.1919860839844, 740.272705078125, 428.8703918457031, 755.7140502929688), font: Symbol, size: 11.863443374633789)
Page 34: useful energy transferred by the device (bbox: (147.32640075683594, 365.2317199707031, 338.9543762207031, 379.6557312011719), font: MyriadPro-Regular, size: 12.0)
Page 34: total energy supp (bbox: (156.0384063720703, 383.0157165527344, 242.5464324951172, 397.4397277832031), font: MyriadPro-Regular, size: 12.0)
Page 34:  (bbox: (142.92010498046875, 361.74420166015625, 146.91610717773438, 380.9864807128906), font: SymbolMT, size: 13.729384422302246)
Page 34:  (bbox: (339.76812744140625, 361.74420166015625, 343.7641296386719, 380.9864807128906), font: SymbolMT, size: 13.729384422302246)
Page 34: lied to the device (bbox: (242.4825897216797, 383.01300048828125, 326.4826354980469, 397.43701171875), font: MyriadPro-Regular, size: 12.0)
Page 34:  (bbox: (151.07640075683594, 379.5254821777344, 155.07240295410156, 398.76776123046875), font: SymbolMT, size: 13.729384422302246)
Page 34:  (bbox: (327.29638671875, 379.5254821777344, 331.2923889160156, 398.76776123046875), font: SymbolMT, size: 13.729384422302246)
Page 34:  (bbox: (332.3887939453125, 383.01300048828125, 334.93280029296875, 397.43701171875), font: MyriadPro-Regular, size: 12.0)
Page 35: force exerted on a spring = spring constant × extension (bbox: (79.86949920654297, 70.11122131347656, 357.8485412597656, 84.53521728515625), font: MyriadPro-Regular, size: 12.0)
Page 35: F (bbox: (417.18951416015625, 70.0992202758789, 422.7695007324219, 84.53521728515625), font: MyriadPro-It, size: 12.0)
Page 35: = (bbox: (422.76947021484375, 70.11122131347656, 435.26153564453125, 84.53521728515625), font: MyriadPro-Regular, size: 12.0)
Page 35: k (bbox: (435.5135498046875, 70.0992202758789, 440.98553466796875, 84.53521728515625), font: MyriadPro-It, size: 12.0)
Page 35: × (bbox: (440.98553466796875, 70.11122131347656, 453.4775390625, 84.53521728515625), font: MyriadPro-Regular, size: 12.0)
Page 35: x (bbox: (453.72955322265625, 70.0992202758789, 459.02154541015625, 84.53521728515625), font: MyriadPro-It, size: 12.0)
Page 35: (final velocity) (bbox: (79.86949157714844, 98.45521545410156, 150.06829833984375, 112.87921142578125), font: MyriadPro-Regular, size: 12.0)
Page 35: 2 (bbox: (150.0706024169922, 97.82540130615234, 153.6595458984375, 106.2345962524414), font: MyriadPro-Regular, size: 6.995999813079834)
Page 35: – (initial velocity) (bbox: (153.65939331054688, 98.45765686035156, 241.53546142578125, 112.88165283203125), font: MyriadPro-Regular, size: 12.0)
Page 35: 2 (bbox: (241.54090881347656, 97.82540130615234, 245.12985229492188, 106.2345962524414), font: MyriadPro-Regular, size: 6.995999813079834)
Page 35: = 2 × acceleration × distance (bbox: (245.1298065185547, 98.45765686035156, 392.4516296386719, 112.88165283203125), font: MyriadPro-Regular, size: 12.0)
